List of Approved ARTS Courses ,,,,,,
,,,,,,
Department/Program,Course #,Name of Course,Instructor,Credit hours,Year approved,Year of reapplication
,,,,,,
Africana Studies,,,,,,
AFST,374,Brazilian Cinema and Popular Music,Zunguze,4,,
,,,,,,
American Indian and Indigenous Studies,,,,,,
AIIS,210,American Indian Film Studies,Adcock,4,,
,,,,,,
Ancient Mediterranean Studies,,,,,,
AMS,385,Early Christian Archaeology,Taylor,4,,
AMS,385,Gender and Sexuality in Ancient Art,Taylor,4,,
AMS,385,Italian Art and Archaeology,Taylor,4,,
AMS,385,Roman Art,Taylor,4,,
AMS,385,World Archeology,Taylor,4,,
AMS,386,Art & Archaeology: Greek Art,Butera,4,,
AMS,393,Epic and Tragedy,Mills,3,,
,,,,,,
Art,,,,,,
ART,234,Ceramics I,multiple faculty,4,,
ART,304,Drawing II,Beldue,4,,
ART,490,Senior Exhibition,Multiple Faculty,4,,
ART,374,ST: Wearable Sculpture,Skidmore,4,,
,,,,,,
Anthropology,,,,,,
ANTH ,322,World Archeology & Culture,Taylor,4,,
,,,,,,
Art History,,,,,,
ARTH,301,History of Architecture,Canejo,4,,
ARTH,306,From Animation & Graphic Novels to Cartoons & Comix,Canejo,4,,
ARTH,311,Greek Art,Butera,4,,
ARTH,312,Roman Art,Taylor,4,,
ARTH,313,Art & Archaeology of Early Christianity,Taylor,4,,
ARTH ,315,Egyptian Art and Architecture,"Bares, E",4,,
ARTH,320,Medieval Art,Canejo,4,,
ARTH,322,World Archeology & Culture,Taylor,4,,
ARTH,330,Renaissance Art,Canejo,4,,
ARTH,360,Modern art and Modernism,Rundquist,4,,
ARTH,374,Black Mountain College: A New Deal in American Education,Harris,4,,
ARTH,374,Art on the Big and Small Screen,"Bares, E",4,,
ARTH,374,Contemporary Art in Latin America,Canejo,4,,
ARTH,374,Global Contemporary Art,"Bares, E",4,,
ARTH,374,Islamic Art and Architecture,"Bares, E",4,,
ARTH,374,Italian Art and Archaeology,Taylor,4,,
ARTH,381,Art in Latin America,Canejo,4,,
ARTH,385,African Art,"Bares, E",4,,
ARTH,410,Modern Art of Brazil & Mexico,Canejo,4,,
ARTH,460,Art in Latin America: 1950-2015,Canejo,4,,
ARTH,460,Gender and Sexuality in Ancient Art,Taylor,4,,
,,,,,,
ARTS,,,,,,
ARTS,310,Art & Artists as Political Dissent,Subramaniam,4,,
ARTS,310,Art and Emotion,Bond,4,,
